mass_A
t,x,y
7.879711450E0,-8.664046565E0,2.296928689E0
7.889092137E0,-8.630266870E0,2.294536170E0
7.898472824E0,-8.570800340E0,2.294136528E0
7.907853511E0,-8.558126242E0,2.294936366E0
7.917234198E0,-8.545126480E0,2.295637143E0
7.926614885E0,-8.533497174E0,2.296534727E0
7.935995572E0,-8.528310264E0,2.296839144E0
7.945376259E0,-8.528188403E0,2.296956910E0
7.954756946E0,-8.528179495E0,2.296964512E0
7.964137633E0,-8.528173959E0,2.296957593E0
7.973518320E0,-8.528189806E0,2.296946110E0
7.982899008E0,-8.528185279E0,2.296911497E0
7.992279695E0,-8.522336456E0,2.296366466E0
8.001660382E0,-8.494077425E0,2.293206017E0
8.011041069E0,-8.429471877E0,2.291615975E0
8.020421756E0,-8.418921506E0,2.291850935E0
8.029802443E0,-8.393728596E0,2.292218857E0
8.039183130E0,-8.363386607E0,2.293030506E0
8.048563817E0,-8.357546104E0,2.293333472E0
8.057944504E0,-8.357591086E0,2.293459812E0
8.067325191E0,-8.357814947E0,2.293600097E0
8.076705878E0,-8.348609582E0,2.292881569E0
8.086086565E0,-8.316382981E0,2.290272053E0
8.095457871E0,-8.288076819E0,2.291877652E0
8.104838558E0,-8.277415489E0,2.291805150E0
8.114219245E0,-8.267572821E0,2.292603279E0
8.123599932E0,-8.255137447E0,2.292601500E0
8.132980620E0,-8.247612031E0,2.292998311E0
8.142361307E0,-8.237520681E0,2.294621124E0
8.151741994E0,-8.224629113E0,2.296075771E0
8.161122681E0,-8.214518135E0,2.295883490E0
8.170503368E0,-8.200725045E0,2.294300858E0
8.179884055E0,-8.187800766E0,2.293369637E0
8.189264742E0,-8.177679282E0,2.293267844E0
8.198645429E0,-8.162490687E0,2.292325079E0
8.208026116E0,-8.147272183E0,2.292583247E0
8.217406803E0,-8.136516145E0,2.292929426E0
8.226787490E0,-8.127286209E0,2.293735747E0
8.236168177E0,-8.116810153E0,2.294571003E0
8.245548864E0,-8.108473140E0,2.295066907E0
8.254929551E0,-8.097286557E0,2.295116652E0
8.264310238E0,-8.086088896E0,2.295341382E0
8.273690925E0,-8.075095229E0,2.295547490E0
8.283071612E0,-8.059650648E0,2.294977682E0
8.292452299E0,-8.043619412E0,2.294927679E0
8.301832986E0,-8.031749935E0,2.294449368E0
8.311213673E0,-8.006234135E0,2.293118189E0
8.320594360E0,-7.978300279E0,2.293794863E0
8.329975047E0,-7.969952134E0,2.294444699E0
8.339355734E0,-7.968718091E0,2.294685603E0
8.348736421E0,-7.968242755E0,2.294637009E0
8.358117108E0,-7.963457993E0,2.294347106E0
8.367497796E0,-7.935791432E0,2.293759434E0
8.376878483E0,-7.904893902E0,2.293797851E0
8.386259170E0,-7.895214591E0,2.293503071E0
8.395639857E0,-7.882166912E0,2.292688880E0
